,rtt
641,82711.5
642,41186.0
643,31411.0
644,46264.0
645,46693.5
646,35589.5
647,32895.0
648,40415.0
649,36474.5
650,39317.0
651,37518.0
652,83828.5
653,21548.5
654,39013.5
655,30757.5
656,38748.0
657,41528.5
658,40516.0
659,44747.5
660,39414.5
661,37918.5
662,44680.5
663,48355.0
664,40015.0
665,38121.0
666,50766.5
667,89248.5
668,49378.0
669,46456.5
670,39488.0
671,29697.5
672,39967.5
673,42507.0
674,39874.0
675,38399.5
676,38963.0
677,28801.0
678,34074.5
679,31163.0
680,39694.5
681,39080.5
682,90318.0
683,39548.5
684,37050.5
685,37898.5
686,37761.0
687,30548.5
688,48647.0
689,41832.5
690,40812.0
691,33823.0
692,36201.0
693,40353.0
694,40819.0
695,38870.5
696,38439.0
697,82203.5
698,47609.5
699,38797.5
700,34111.0
701,30740.5
702,46263.5
703,40765.5
704,39324.0
705,43582.5
706,86967.0
707,41508.5
708,33925.5
709,31171.0
710,34440.0
711,43130.5
712,39661.0
713,37626.5
714,37559.0
715,44095.5
716,37578.0
717,32670.5
718,39384.5
719,37548.0
720,41939.0
721,41564.0
722,49757.5
723,39188.5
724,32928.0
725,30562.0
726,38056.5
727,35464.0
728,45369.5
729,36936.0
730,30474.5
731,36026.5
732,36963.5
733,37225.0
734,40934.5
735,38088.0
736,84895.0
737,37953.0
738,47942.0
739,38220.0
740,33608.5
741,32209.5
742,51075.5
743,40948.0
744,38051.5
745,37727.5
746,38903.0
747,35989.5
748,45600.5
749,30286.0
750,29785.5
751,37689.0
752,91040.0
753,39117.0
754,42394.0
755,40987.5
756,40875.5
757,39843.5
758,41809.0
759,34733.5
760,34847.5
761,85976.5
762,47736.0
763,42050.0
764,41301.5
765,32731.5
766,40971.0
767,43787.5
768,38782.5
769,42914.5
770,38371.0
771,38590.0
772,33138.0
773,32276.5
774,24978.5
775,37443.0
776,35561.0
777,46092.0
778,41020.0
779,38837.0
780,39571.0
781,30457.0
782,63922.0
783,39743.0
784,28797.0
785,42717.5
786,26988.5
787,47001.0
788,27411.5
789,33394.0
790,26663.5
791,25845.5
792,29123.0
793,36391.0
794,33809.0
795,26641.5
796,26090.5
797,32749.0
798,44597.0
799,37091.0
800,38813.5
801,36378.0
802,35157.0
803,43555.5
804,24544.5
805,33021.0
806,36021.0
807,38544.5
808,37775.5
809,36209.5
810,33269.0
811,36003.5
812,35742.0
813,21815.0
814,36244.5
815,43924.0
816,38242.5
817,38018.5
818,40701.5
819,38255.5
820,44849.0
821,47747.5
822,38013.5
823,27270.5
824,45392.0
825,36289.0
826,38557.0
827,35799.5
828,37017.5
829,28137.0
830,38014.5
831,41829.5
