,rtt
614,48203.0
615,30015.5
616,32279.0
617,33715.0
618,39483.5
619,80367.0
620,30476.0
621,31769.0
622,42668.5
623,33954.5
624,32725.5
625,85025.5
626,32161.0
627,41002.0
628,36805.5
629,45296.5
630,32657.0
631,37892.0
632,32040.5
633,32387.5
634,31106.5
635,31320.5
636,33792.5
637,28311.5
638,34056.5
639,80059.0
640,32120.0
641,43290.5
642,32887.5
643,34884.0
644,42424.0
645,31481.0
646,41009.5
647,31520.0
648,42217.0
649,36192.5
650,41606.5
651,31167.5
652,41232.5
653,32941.0
654,33110.0
655,37810.0
656,31980.0
657,17487.0
658,42126.0
659,31741.5
660,37085.5
661,31966.0
662,32916.5
663,31818.0
664,37721.0
665,33305.0
666,31217.5
667,32885.0
668,47995.0
669,29902.0
670,27294.5
671,36979.5
672,28953.5
673,27801.5
674,31958.5
675,47330.5
676,29919.0
677,38060.5
678,32084.5
679,29627.0
680,32219.0
681,31606.5
682,32498.5
683,39703.5
684,79521.5
685,31721.5
686,34817.0
687,37868.5
688,23231.5
689,30411.5
690,32602.5
691,30578.5
692,43029.0
693,32388.0
694,80518.0
695,32612.5
696,78980.0
697,41696.5
698,32044.5
699,19433.5
700,31658.5
701,15354.0
702,32070.5
703,33269.0
704,32159.0
705,39074.5
706,33817.0
707,37015.0
708,35902.0
709,55660.5
710,41030.5
711,81541.5
712,36502.5
713,36234.0
714,41766.5
715,33384.5
716,31707.0
717,31579.0
718,32612.0
719,30261.0
720,84318.5
721,36553.5
722,34393.5
723,52302.0
724,64754.0
725,83547.0
726,76950.0
727,79923.5
728,79048.0
729,86605.5
730,80304.5
731,79581.0
732,79748.5
733,85416.5
734,81346.0
735,80092.0
736,79063.0
737,77995.5
738,87590.5
739,52733.5
740,32313.0
741,32009.5
742,85818.0
743,79321.0
744,80352.5
745,77810.0
746,80592.0
747,89391.0
748,80309.0
749,79542.5
750,83303.5
751,88446.5
752,80606.0
753,82529.5
754,78497.5
755,80253.5
756,85377.0
757,79411.5
758,80955.5
759,78287.5
760,84749.0
761,79478.0
762,67679.0
763,80651.0
764,80719.5
765,89775.0
766,79766.5
767,95622.0
768,83097.5
769,77928.0
770,81445.5
771,79494.5
772,79810.0
773,80540.0
774,81453.5
775,79071.0
776,81239.0
777,78710.0
778,81381.0
779,80612.5
780,78323.5
781,78142.0
782,81725.0
783,71308.5
784,78770.0
785,77953.5
786,79415.0
787,95038.5
788,84600.0
789,50649.5
790,58023.0
791,83164.5
792,69673.5
793,78076.0
794,55006.5
795,21203.5
796,9441.5
797,41989.5
798,36010.0
799,60027.5
800,52255.5
801,41184.5
802,31416.5
803,40341.5
804,30404.5
805,33660.0
806,32982.5
807,34092.0
808,30559.0
809,26996.5
810,32338.5
811,28400.5
812,36350.0
813,83400.0
814,26299.5
815,30194.0
816,33123.0
817,32236.0
818,27868.5
819,28231.5
820,25394.0
821,32197.5
822,34291.5
823,79406.5
824,28559.5
825,41666.0
826,19472.0
827,26145.5
828,34038.0
829,31514.5
830,33052.0
831,31817.0
832,33403.0
833,81845.5
834,34687.0
835,34199.0
836,15535.5
837,19487.5
838,46316.5
839,36715.0
840,34586.0
841,27748.5
842,36690.0
843,82312.5
844,32749.0
845,19919.5
846,34165.0
847,40883.5
848,35524.0
849,18482.5
850,31640.5
851,35785.5
852,33828.5
853,34526.0
854,36284.5
855,32151.5
856,33191.5
857,24743.5
858,48819.0
859,29408.5
860,79682.5
861,32652.5
862,35254.0
863,34776.5
864,34496.5
865,29468.5
866,23939.0
867,38508.5
868,32519.0
869,6002.0
870,19781.5
871,15298.5
872,27048.0
873,4481.0
874,30623.5
875,84263.0
876,33422.5
877,41197.5
878,36182.5
879,32991.0
880,32786.0
881,25092.5
882,33196.5
883,35103.0
884,33716.5
885,80711.0
886,15671.0
887,61920.5
888,35958.0
889,17392.0
890,80154.0
891,28000.5
892,35080.5
893,35987.0
894,34600.0
895,32712.5
896,33037.0
897,24843.0
898,35612.5
899,33113.0
900,32061.0
901,30707.5
902,83812.5
903,36568.5
904,33247.5
905,24589.0
906,32453.5
907,18777.5
908,26945.0
909,83029.5
910,33684.5
911,33115.5
912,22058.0
913,25890.0
914,24971.5
915,33459.5
916,33922.5
917,35027.0
918,34899.5
919,33475.0
920,31630.0
921,78644.5
922,36653.0
923,30151.0
924,33468.5
925,32548.0
926,32875.5
927,33074.0
928,29825.0
929,8279.0
930,25876.0
931,83713.0
932,19596.0
933,28436.0
934,38028.5
935,33807.5
936,26894.5
937,42970.5
938,36943.5
939,28724.0
940,12265.5
941,30761.0
942,29156.0
943,34426.0
944,33378.0
945,78718.5
946,31778.0
947,34889.5
948,34326.5
949,35312.0
950,19339.5
951,33093.5
952,34596.0
953,25679.0
954,34461.0
955,29654.5
956,31697.0
957,21608.0
958,27998.5
959,26738.0
960,32595.5
961,78400.0
962,33868.0
963,36137.0
964,33443.5
965,32641.0
966,32569.5
967,22192.0
968,28066.0
969,39531.5
970,20622.0
971,29091.0
972,34472.5
973,35106.5
974,33296.0
975,32597.5
976,33984.5
977,20636.5
978,27756.5
979,37438.5
980,33844.0
981,57618.0
982,27520.5
983,33674.5
984,33867.0
985,28569.5
986,30778.5
987,40461.5
988,32385.5
989,31751.0
990,16806.5
991,27649.5
992,63029.5
993,26784.0
994,45354.0
995,18534.5
996,17388.0
997,61952.5
998,43509.5
999,42339.0
1000,45992.5
1001,59840.0
1002,38406.5
1003,38720.5
1004,36269.5
1005,36244.5
1006,38124.0
1007,36113.5
1008,25767.0
1009,27281.5
